ipst,dtype,total_mb,subarray,detector,crsplit,x_size,pctecorr,mem_bin,memory,instr,drizcorr,wallclock,n_files,timestamp,x_files
j8i0cbmhq,0,34,0,1,2,0.919839605356715,1,1,2.069196,0,1,1677,2,1620740441,-0.7780152036830672
lb1v11fsq,0,9,1,0,0,0.09506200417781331,0,0,0.454956,1,0,15,2,1620740441,-0.7780152036830672
lb1412tgq,0,9,1,0,0,0.09506200417781331,0,0,0.454896,1,0,12,2,1620740441,-0.7780152036830672
laa104v0q,0,9,1,0,0,0.09506200417781331,0,0,0.455096,1,0,12,2,1620740441,-0.7780152036830672
j8i0atv1q,0,34,0,1,2,0.919839605356715,1,1,2.045776,0,1,2000,2,1620740441,-0.7780152036830672
ibcf17baq,0,1,1,0,0,-1.0724141621312375,0,0,0.4592520000000001,3,1,24,2,1620740441,-0.7780152036830672
labm01c4q,0,0,0,0,0,-1.6157022275450914,0,0,0.454384,1,0,16,2,1620740441,-0.7780152036830672
j8r022020,1,69,0,1,2,1.3470427631721529,1,1,2.796512,0,1,2853,5,1620740441,1.0921440788857568
j8i0cnezq,0,34,0,1,2,0.919839605356715,1,1,2.045968,0,1,2082,2,1620740441,-0.7780152036830672
iab601ypq,0,18,0,0,0,0.5263600146713312,0,0,0.56522,3,1,71,2,1620740441,-0.7780152036830672
ibbu01agq,0,13,0,0,0,0.3234899654738656,0,0,0.53256,3,1,52,2,1620740441,-0.7780152036830672
la9k02dcq,0,1,1,0,0,-1.0724141621312375,0,0,0.45628,1,0,18,2,1620740441,-0.7780152036830672
iabg06dsq,0,35,0,0,0,0.9375950901966635,0,0,0.609808,3,0,67,2,1620740441,-0.7780152036830672
labo05vkq,0,0,0,0,0,-1.6157022275450914,0,0,0.461008,1,0,25,2,1620740441,-0.7780152036830672
la9k03blq,0,1,1,0,0,-1.0724141621312375,0,0,0.45582,1,0,25,2,1620740441,-0.7780152036830672
lb3j11mmq,0,0,0,0,0,-1.6157022275450914,0,0,0.4552560000000001,1,0,10,2,1620740441,-0.7780152036830672
ibcf0bp4q,0,4,1,0,0,-0.3922108615141664,0,0,0.47654,3,1,26,2,1620740441,-0.7780152036830672
ibpk01030,1,104.7,0,1,1,1.591706301743819,1,2,8.95,3,1,3879,4,1620740441,0.7728496207883843
labo93lqq,0,0,0,0,0,-1.6157022275450914,0,0,0.454836,1,0,15,2,1620740441,-0.7780152036830672
